"id","Rk.pass","QBrec","Cmp","Att.pass","Cmp.","Yds.pass","TD.pass","TD.","Int","Int.","Lng.pass","Y.A.pass","AY.A","Y.C","Y.G.pass","Rate","QBR","Sk","Yds.1.pass","NY.A","ANY.A","Sk.","X4QC","GWD","Rk.rush","Att.rush","Yds.rush","TD.rush","Lng.rush","Y.A.rush","Y.G.rush","A.G","Rec.rush","Yds.1.rush","Y.R.rush","TD.1","Lng.1","R.G.rush","Y.G.1","YScm","RRTD","Fmb.rush","Rk.rec","Rec.rec","Yds.rec","Y.R.rec","TD.rec","Lng.rec","R.G.rec","Y.G.rec","Fmb.rec"
"AustTa00","64","","0","1","0.0","0","0","0.0","0","0.0","0","0.0","0.0","","0.0","39.6","1.11","0","0","0.00","0.00","0.0","","","155","9","151","1","65","16.8","11.6","0.7","40","418","10.5","4","81","3.1","32.2","569","5","4","107","40","418","10.5","4","81","3.1","32.2","4"
"AvanJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","38","447","11.8","2","31","2.4","27.9","1"
"AverDo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224","2","6","0","4","3.0","0.4","0.1","40","596","14.9","2","51","2.5","37.3","602","2","1","108","40","596","14.9","2","51","2.5","37.3","1"
"BailSt01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225","2","33","1","27","16.5","2.1","0.1","17","226","13.3","0","28","1.1","14.1","259","1","0","211","17","226","13.3","0","28","1.1","14.1","0"
"BajeBi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"376","2","18","9.0","0","18","0.3","3.0","0"
"BakeEd01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","43","171","2","20","4.0","57.0","14.3","8","57","7.1","0","16","2.7","19.0","228","2","0","274","8","57","7.1","0","16","2.7","19.0","0"
"BaldDo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226","2","6","0","3","3.0","0.4","0.1","50","778","15.6","5","52","3.1","48.6","784","5","0","75","50","778","15.6","5","52","3.1","48.6","0"
"BaldJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"360","3","28","9.3","0","15","0.4","4.0","0"
"BallJa21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"292","7","75","10.7","2","29","0.9","9.4","0"
"BallMo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","120","559","4","45","4.7","34.9","7.5","20","145","7.3","0","31","1.3","9.1","704","4","3","193","20","145","7.3","0","31","1.3","9.1","3"
"BallVi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139","13","63","0","12","4.8","63.0","13.0","1","-5","-5.0","0","-5","1.0","-5.0","58","0","0","415","1","-5","-5.0","0","-5","1.0","-5.0","0"
"BanyJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"416","1","11","11.0","0","11","0.3","3.7","0"
"BarkMa00","50","","30","49","61.2","300","0","0.0","4","8.2","26","6.1","2.4","10.0","100.0","44.6","19.5","3","24","5.31","1.85","5.8","","","227","2","-2","0","-1","-1.0","-0.7","0.7","","","","","","","","-2","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BarnGa01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"228","13","127","9.8","2","40","0.8","7.9","0"
"BarnKe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173","6","7","0","2","1.2","1.0","0.9","2","7","3.5","0","5","0.3","1.0","14","0","1","377","2","7","3.5","0","5","0.3","1.0","1"
"BattJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","36","142","1","37","3.9","8.9","2.3","4","36","9.0","0","24","0.3","2.3","178","1","0","339","4","36","9.0","0","24","0.3","2.3","0"
"BeasCo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","39","368","9.4","2","23","2.8","26.3","1"
"BellJo01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","166","650","8","20","3.9","40.6","10.4","53","547","10.3","0","37","3.3","34.2","1197","8","4","62","53","547","10.3","0","37","3.3","34.2","4"
"BellLe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","244","860","8","43","3.5","66.2","18.8","45","399","8.9","0","43","3.5","30.7","1259","8","1","91","45","399","8.9","0","43","3.5","30.7","1"
"BenjTr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","1","45","0","45","45.0","5.6","0.1","5","105","21.0","0","39","0.6","13.1","150","0","2","326","5","105","21.0","0","39","0.6","13.1","2"
"BennEa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137","32","243","7.6","4","17","2.1","16.2","0"
"BennMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","65","759","11.7","5","43","4.1","47.4","1"
"BernGi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","170","695","5","35","4.1","43.4","10.6","56","514","9.2","3","41","3.5","32.1","1209","8","2","57","56","514","9.2","3","41","3.5","32.1","2"
"BessDa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","42","362","8.6","2","20","3.0","25.9","1"
"BlacJu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"265","1","-1","0","-1","-1.0","-0.3","0.3","29","415","14.3","1","67","7.3","103.8","414","1","0","153","29","415","14.3","1","67","7.3","103.8","0"
"BlouLe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","153","772","7","47","5.0","48.3","9.6","2","38","19.0","0","32","0.1","2.4","810","7","3","378","2","38","19.0","0","32","0.1","2.4","3"
"BohaTo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","17","62","0","8","3.6","3.9","1.1","11","69","6.3","0","21","0.7","4.3","131","0","0","247","11","69","6.3","0","21","0.7","4.3","0"
"BoldAn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"228","2","11","0","11","5.5","0.7","0.1","85","1179","13.9","7","63","5.3","73.7","1190","7","0","14","85","1179","13.9","7","63","5.3","73.7","0"
"BoldBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","55","271","3","46","4.9","22.6","4.6","21","152","7.2","0","18","1.8","12.7","423","3","0","190","21","152","7.2","0","18","1.8","12.7","0"
"BostBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"293","7","120","17.1","1","26","0.6","10.9","0"
"BoweDw00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","57","673","11.8","5","34","3.8","44.9","0"
"BoycJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","9","121","13.4","0","30","1.1","15.1","0"
"BoykJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","49","681","13.9","3","52","3.1","42.6","0"
"BradAh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95","41","186","2","27","4.5","62.0","13.7","7","42","6.0","0","14","2.3","14.0","228","2","0","294","7","42","6.0","0","14","2.3","14.0","0"
"BradSa00","32","3-4-0","159","262","60.7","1687","14","5.3","4","1.5","73","6.4","6.8","10.6","241.0","90.9","48.05","15","97","5.74","6.10","5.4","1","1","134","15","31","0","23","2.1","4.4","2.1","","","","","","","","31","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BradTo00","5","12-4-0","380","628","60.5","4343","25","4.0","11","1.8","81","6.9","6.9","11.4","271.4","87.3","61.09","40","256","6.12","6.13","6.0","5","5","104","32","18","0","11","0.6","1.1","2.0","","","","","","","","18","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BrazLa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"237","12","161","13.4","2","29","1.2","16.1","1"
"BreeDr00","3","11-5-0","446","650","68.6","5162","39","6.0","12","1.8","76","7.9","8.3","11.6","322.6","104.7","70.51","37","244","7.16","7.51","5.4","3","3","102","35","52","3","16","1.5","3.3","2.2","","","","","","","","52","3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BritKe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"248","11","96","8.7","0","15","0.9","8.0","0"
"BrocKe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"361","3","36","12.0","0","25","0.4","4.5","0"
"BrocRi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"266","1","1","0","1","1.0","0.1","0.1","1","12","12.0","0","12","0.1","0.8","13","0","1","417","1","12","12.0","0","12","0.1","0.8","1"
"BrowAn03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","139","492","3","23","3.5","61.5","17.4","20","103","5.2","0","14","2.5","12.9","595","3","3","194","20","103","5.2","0","14","2.5","12.9","3"
"BrowAn04","65","","1","1","100.0","15","0","0.0","0","0.0","15","15.0","15.0","15.0","0.9","118.7","48.64","1","7","4.00","4.00","50.0","","","166","7","4","0","10","0.6","0.3","0.4","110","1499","13.6","8","56","6.9","93.7","1503","8","1","2","110","1499","13.6","8","56","6.9","93.7","1"
"BrowBr02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","75","314","2","65","4.2","19.6","4.7","8","84","10.5","0","35","0.5","5.3","398","2","0","275","8","84","10.5","0","35","0.5","5.3","0"
"BrowDo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","102","537","6","51","5.3","33.6","6.4","27","214","7.9","2","33","1.7","13.4","751","8","1","160","27","214","7.9","2","33","1.7","13.4","1"
"BrowJa03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249","11","140","12.7","1","32","0.7","8.8","0"
"BrowMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"267","1","-2","0","-2","-2.0","-0.1","0.1","49","524","10.7","7","59","3.5","37.4","522","7","0","77","49","524","10.7","7","59","3.5","37.4","0"
"BrowMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138","32","446","13.9","2","43","2.9","40.5","2"
"BrowRo05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","45","157","1","13","3.5","9.8","2.8","8","60","7.5","0","15","0.5","3.8","217","1","0","276","8","60","7.5","0","15","0.5","3.8","0"
"BrowVi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","41","472","11.5","1","51","2.6","29.5","0"
"BroyRy00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"277","8","85","10.6","0","22","1.3","14.2","0"
"BrutDa99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"268","1","35","0","35","35.0","2.2","0.1","","","","","","","","35","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BryaDe01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"269","1","1","0","1","1.0","0.1","0.1","93","1233","13.3","13","79","5.8","77.1","1234","13","3","8","93","1233","13.3","13","79","5.8","77.1","3"
"BurlNa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"229","2","-8","0","0","-4.0","-0.9","0.2","39","461","11.8","1","47","4.3","51.2","453","1","1","111","39","461","11.8","1","47","4.3","51.2","1"
"BurtSt00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"270","1","-9","0","-9","-9.0","-2.3","0.3","8","76","9.5","0","22","2.0","19.0","67","0","0","278","8","76","9.5","0","22","2.0","19.0","0"
"BushJo00","66","","0","1","0.0","0","0","0.0","0","0.0","0","0.0","0.0","","0.0","39.6","","0","0","0.00","0.00","0.0","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BushMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","63","197","3","40","3.1","13.1","4.2","4","48","12.0","1","17","0.3","3.2","245","4","0","340","4","48","12.0","1","17","0.3","3.2","0"
"BushRe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","223","1006","4","39","4.5","71.9","15.9","54","506","9.4","3","77","3.9","36.1","1512","7","5","60","54","506","9.4","3","77","3.9","36.1","5"
"ButlBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"265","9","103","11.4","0","29","0.9","10.3","0"
"ByhaNa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"362","3","38","12.7","0","34","0.8","9.5","0"
"CadeTr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"379","2","5","2.5","1","3","0.2","0.4","0"
"CaldAn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"271","1","7","0","7","7.0","0.4","0.1","16","200","12.5","3","36","1.0","12.5","207","3","0","215","16","200","12.5","3","36","1.0","12.5","0"
"CameJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","80","917","11.5","7","53","5.3","61.1","1"
"CampJa00","26","1-7-0","180","317","56.8","2015","11","3.5","8","2.5","80","6.4","5.9","11.2","223.9","76.9","38.6","16","104","5.74","5.32","4.8","","","136","14","107","0","21","7.6","11.9","1.6","","","","","","","","107","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CarlJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139","32","344","10.8","1","30","2.5","26.5","1"
"CaseJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"363","3","31","10.3","0","12","0.2","2.1","0"
"CassMa00","33","3-3-0","153","254","60.2","1807","11","4.3","9","3.5","79","7.1","6.4","11.8","200.8","81.6","48.72","16","85","6.38","5.69","5.9","2","2","127","18","57","1","13","3.2","6.3","2.0","","","","","","","","57","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CeleBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140","32","502","15.7","6","42","2.0","31.4","1"
"CeleGa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"380","2","38","19.0","0","30","0.2","3.2","1"
"ChanSc00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","53","655","12.4","2","33","3.3","40.9","1"
"CharJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","259","1287","12","46","5.0","85.8","17.3","70","693","9.9","7","71","4.7","46.2","1980","19","4","37","70","693","9.9","7","71","4.7","46.2","4"
"CharOr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"418","1","8","8.0","0","8","0.1","0.6","0"
"ChekCh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"419","1","22","22.0","0","22","0.1","1.5","0"
"ChoiTa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","46","170","0","20","3.7","11.3","3.1","5","15","3.0","0","5","0.3","1.0","185","0","0","327","5","15","3.0","0","5","0.3","1.0","0"
"ClarDa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146","31","343","11.1","3","45","2.6","28.6","0"
