"team","year","league","w","l","t","playoffs","pts.for","pts.ag","pt.dif","coach","o.pt.rnk","o.yd.rnk","d.pt.rnk","d.yd.rnk","pt.dif.rnk","yd.dif.rnk","n.teams","w.pct","pt.dif.gm","pt.dif.qnt","pt.dif.zs"
"atl",2009,"NFL",9,7,0,"",363,325,38,"Smith",13,16,14,21,15,19,32,0.5625,2.375,0.548387096774194,0.318502779287557
"atl",2008,"NFL",11,5,0,"Lost WC",391,325,66,"Smith",10,6,11,24,11,19,32,0.6875,4.125,0.67741935483871,0.615589602521763
"atl",2007,"NFL",4,12,0,"",259,414,-155,"Petrino,Thomas",29,23,29,29,30,27,32,0.25,-9.6875,0.0645161290322581,-1.33257322708078
"atl",2006,"NFL",7,9,0,"",292,328,-36,"Mora",25,12,15,22,21,16,32,0.4375,-2.25,0.354838709677419,-0.389065812209597
"atl",2005,"NFL",8,8,0,"",351,341,10,"Mora",14,12,18,22,16,20,32,0.5,0.625,0.516129032258065,0.0944620114601043
"atl",2004,"NFL",11,5,0,"Lost Conf",340,337,3,"Mora",16,20,14,14,14,17,32,0.6875,0.1875,0.580645161290323,0.0328253404209877
"atl",2003,"NFL",5,11,0,"",299,422,-123,"Reeves,Phillips",20,29,30,32,28,31,32,0.3125,-7.6875,0.129032258064516,-1.24724262026166
"atl",2002,"NFL",9,6,1,"Lost Div",402,314,88,"Reeves",5,14,8,19,4,16,32,0.5625,5.5,0.903225806451613,0.991812212807162
"atl",2001,"NFL",7,9,0,"",291,377,-86,"Reeves",23,15,24,30,26,28,31,0.4375,-5.375,0.166666666666667,-0.876909065280823
"atl",2000,"NFL",4,12,0,"",252,413,-161,"Reeves",27,30,26,25,27,29,31,0.25,-10.0625,0.133333333333333,-1.3794922150983
"atl",1999,"NFL",5,11,0,"",285,380,-95,"Reeves",23,27,25,16,26,28,31,0.3125,-5.9375,0.166666666666667,-0.887222991889488
"atl",1998,"NFL",14,2,0,"Lost SB",442,289,153,"Reeves",4,7,4,8,3,7,30,0.875,9.5625,0.931034482758621,1.37425192179717
"atl",1997,"NFL",7,9,0,"",320,361,-41,"Reeves",18,23,21,20,19,23,30,0.4375,-2.5625,0.379310344827586,-0.462825967271697
"atl",1996,"NFL",3,13,0,"",309,461,-152,"Jones",19,17,30,29,29,26,30,0.1875,-9.5,0.0344827586206896,-1.61157770693877
"atl",1995,"NFL",9,7,0,"Lost WC",362,349,13,"Jones",11,10,19,29,15,23,30,0.5625,0.8125,0.517241379310345,0.15334680761294
"atl",1994,"NFL",7,9,0,"",317,385,-68,"Jones",15,7,24,27,23,22,28,0.4375,-4.25,0.185185185185185,-0.79950219513277
"atl",1993,"NFL",6,10,0,"",316,385,-69,"Glanville",12,11,28,25,23,21,28,0.375,-4.3125,0.185185185185185,-0.764644970600472
"atl",1992,"NFL",6,10,0,"",327,414,-87,"Glanville",11,10,28,28,22,22,28,0.375,-5.4375,0.222222222222222,-0.856423855378373
"atl",1991,"NFL",10,6,0,"Lost Div",361,338,23,"Glanville",5,8,20,24,12,15,28,0.625,1.4375,0.592592592592593,0.204632789545026
"atl",1990,"NFL",5,11,0,"",348,365,-17,"Glanville",10,10,21,19,17,17,28,0.3125,-1.0625,0.407407407407407,-0.162780143296982
"atl",1989,"NFL",3,13,0,"",279,437,-158,"Campbell,Hanifan",22,24,28,28,26,27,28,0.1875,-9.875,0.0740740740740741,-1.60393463581978
"atl",1988,"NFL",5,11,0,"",244,315,-71,"Campbell",25,25,11,25,22,27,28,0.3125,-4.4375,0.222222222222222,-0.899222591454002
"atl",1987,"NFL",3,12,0,"",205,436,-231,"Campbell",28,28,28,28,28,28,28,0.2,-15.4,0,-2.55038083387782
"atl",1986,"NFL",7,8,1,"",280,280,0,"Henning",21,17,6,7,16,11,28,0.4375,0,0.444444444444444,0
"atl",1985,"NFL",4,12,0,"",282,452,-170,"Henning",26,20,28,25,27,23,28,0.25,-10.625,0.0370370370370371,-1.6371119285321
"atl",1984,"NFL",4,12,0,"",281,382,-101,"Henning",22,19,22,15,23,19,28,0.25,-6.3125,0.185185185185185,-0.854256907818434
"atl",1983,"NFL",7,9,0,"",370,389,-19,"Henning",10,8,23,25,18,18,28,0.4375,-1.1875,0.37037037037037,-0.215795591931102
"atl",1982,"NFL",5,4,0,"Lost WC",183,199,-16,"Bennett",14,9,21,14,18,11,28,0.555555555555556,-1.77777777777778,0.37037037037037,-0.292093455782399
"atl",1981,"NFL",7,9,0,"",426,355,71,"Bennett",2,7,18,14,7,13,28,0.4375,4.4375,0.777777777777778,0.744691517707604
"atl",1980,"NFL",12,4,0,"Lost Div",405,272,133,"Bennett",5,3,5,16,4,9,28,0.75,8.3125,0.888888888888889,1.35793383831607
"atl",1979,"NFL",6,10,0,"",300,388,-88,"Bennett",19,17,26,25,26,23,28,0.375,-5.5,0.0740740740740741,-1.14308923603423
"atl",1978,"NFL",9,7,0,"Lost Div",240,290,-50,"Bennett",26,26,14,5,24,21,28,0.5625,-3.125,0.148148148148148,-0.647233499779714
"atl",1977,"NFL",7,7,0,"",179,129,50,"Bennett",25,25,1,2,9,16,28,0.5,3.57142857142857,0.703703703703704,0.567452237401056
"atl",1976,"NFL",4,10,0,"",172,312,-140,"Peppler,Campbell",24,27,22,20,25,27,28,0.285714285714286,-10,0.111111111111111,-1.08422092333427
"atl",1975,"NFL",4,10,0,"",240,289,-49,"Campbell",19,20,15,22,15,20,26,0.285714285714286,-3.5,0.44,-0.39447841980137
"atl",1974,"NFL",3,11,0,"",111,271,-160,"Van Brocklin,Campbell",26,26,16,15,26,26,26,0.214285714285714,-11.4285714285714,0,-1.82369135833063
"atl",1973,"NFL",9,5,0,"",318,224,94,"Van Brocklin",7,15,9,6,8,7,26,0.642857142857143,6.71428571428571,0.72,0.746253643295022
"atl",1972,"NFL",7,7,0,"",269,274,-5,"Van Brocklin",16,16,14,7,16,13,26,0.5,-0.357142857142857,0.4,-0.0418688228678667
"atl",1971,"NFL",7,6,1,"",274,277,-3,"Van Brocklin",13,15,13,8,13,12,26,0.5,-0.214285714285714,0.52,-0.0303162100942823
"atl",1970,"NFL",4,8,2,"",206,261,-55,"Van Brocklin",22,23,10,11,19,22,26,0.285714285714286,-3.92857142857143,0.28,-0.54889891535925
"atl",1969,"NFL",6,8,0,"",276,268,8,"Van Brocklin",11,13,6,9,8,13,16,0.428571428571429,0.571428571428571,0.533333333333333,0.0767789676548307
"atl",1968,"NFL",2,12,0,"",170,389,-219,"Van Brocklin,Hecker",16,16,15,16,16,16,16,0.142857142857143,-15.6428571428571,0,-1.5517076919606
"atl",1967,"NFL",1,12,1,"",175,422,-247,"Hecker",16,16,16,16,16,16,16,0.0714285714285714,-17.6428571428571,0,-2.03228519723625
"atl",1966,"NFL",3,11,0,"",204,437,-233,"Hecker",15,14,14,15,14,15,15,0.214285714285714,-16.6428571428571,0.0714285714285714,-1.92413192659758
"rav",2013,"NFL",3,5,0,"",168,172,-4,"Harbaugh",21,23,10,11,16,21,32,0.375,-0.5,0.516129032258065,-0.0595278578148781
"rav",2012,"NFL",10,6,0,"Won SB",398,344,54,"Harbaugh",10,16,12,17,11,15,32,0.625,3.375,0.67741935483871,0.484901518872008
"rav",2011,"NFL",12,4,0,"Lost Conf",378,266,112,"Harbaugh",12,15,3,3,5,5,32,0.75,7,0.870967741935484,1.01629511918628
"rav",2010,"NFL",12,4,0,"Lost Div",357,270,87,"Harbaugh",16,22,3,10,6,15,32,0.75,5.4375,0.838709677419355,0.897087156985834
"rav",2009,"NFL",9,7,0,"Lost Div",391,261,130,"Harbaugh",9,13,3,3,6,8,32,0.5625,8.125,0.838709677419355,1.0896147712469
"rav",2008,"NFL",11,5,0,"Lost Conf",385,244,141,"Harbaugh",11,18,3,2,1,5,32,0.6875,8.8125,1,1.31512324175104
"rav",2007,"NFL",5,11,0,"",275,384,-109,"Billick",24,22,22,6,26,16,32,0.3125,-6.8125,0.193548387096774,-0.937099882269709
"rav",2006,"NFL",13,3,0,"Lost Div",353,201,152,"Billick",12,17,1,1,3,6,32,0.8125,9.5,0.935483870967742,1.6427223182183
"rav",2005,"NFL",6,10,0,"",265,299,-34,"Billick",25,24,10,5,18,17,32,0.375,-2.125,0.451612903225806,-0.321170838964354
"rav",2004,"NFL",9,7,0,"",317,268,49,"Billick",20,31,6,6,9,23,32,0.5625,3.0625,0.741935483870968,0.536147226876132
"rav",2003,"NFL",10,6,0,"Lost WC",391,281,110,"Billick",8,21,6,3,6,10,32,0.625,6.875,0.838709677419355,1.1154202295023
"rav",2002,"NFL",7,9,0,"",316,354,-38,"Billick",23,26,19,22,22,27,32,0.4375,-2.375,0.32258064516129,-0.428282546439456
"rav",2001,"NFL",10,6,0,"Lost Div",303,265,38,"Billick",18,14,4,2,11,4,31,0.625,2.375,0.666666666666667,0.387471447449666
"rav",2000,"NFL",12,4,0,"Won SB",333,165,168,"Billick",14,16,1,2,2,4,31,0.75,10.5,0.966666666666667,1.43947013749388
"rav",1999,"NFL",8,8,0,"",324,277,47,"Billick",14,24,6,2,11,5,31,0.5,2.9375,0.666666666666667,0.438941901250589
"rav",1998,"NFL",6,10,0,"",269,335,-66,"Marchibroda",26,26,16,22,20,25,30,0.375,-4.125,0.344827586206897,-0.592814554500738
"rav",1997,"NFL",6,9,1,"",326,345,-19,"Marchibroda",16,9,18,25,18,15,30,0.375,-1.1875,0.413793103448276,-0.21448032629664
"rav",1996,"NFL",4,12,0,"",371,441,-70,"Marchibroda",6,3,28,30,24,16,30,0.25,-4.375,0.206896551724138,-0.742173943984959
"buf",2013,"NFL",3,6,0,"",189,236,-47,"Marrone",21,15,24,20,22,22,32,0.333333333333333,-5.22222222222222,0.32258064516129,-0.699452329324818
"buf",2012,"NFL",6,10,0,"",344,435,-91,"Gailey",21,19,26,22,25,22,32,0.375,-5.6875,0.225806451612903,-0.817148855876902
"buf",2011,"NFL",6,10,0,"",372,434,-62,"Gailey",14,14,30,26,22,19,32,0.375,-3.875,0.32258064516129,-0.562591940978117
"buf",2010,"NFL",4,12,0,"",283,425,-142,"Gailey",28,25,28,24,30,27,32,0.25,-8.875,0.0645161290322581,-1.46421122174699
"buf",2009,"NFL",6,10,0,"",258,326,-68,"Jauron,Fewell",28,30,16,19,23,26,32,0.375,-4.25,0.290322580645161,-0.569952341882996
"buf",2008,"NFL",7,9,0,"",336,342,-6,"Jauron",23,25,14,14,20,24,32,0.4375,-0.375,0.387096774193548,-0.0559626911383421
"buf",2007,"NFL",7,9,0,"",252,354,-102,"Jauron",30,30,18,31,25,31,32,0.4375,-6.375,0.225806451612903,-0.876919155885416
"buf",2006,"NFL",7,9,0,"",300,311,-11,"Jauron",23,30,10,18,17,30,32,0.4375,-0.6875,0.483870967741935,-0.118881220397377
"buf",2005,"NFL",5,11,0,"",271,367,-96,"Mularkey",24,28,24,29,27,30,32,0.3125,-6,0.161290322580645,-0.906835310017001
"buf",2004,"NFL",9,7,0,"",395,284,111,"Mularkey",7,25,8,2,6,10,32,0.5625,6.9375,0.838709677419355,1.21453759557654
"buf",2003,"NFL",6,10,0,"",243,279,-36,"Williams",30,30,5,2,20,17,32,0.375,-2.25,0.387096774193548,-0.365046620564388
"buf",2002,"NFL",8,8,0,"",379,397,-18,"Williams",11,11,27,15,20,13,32,0.5,-1.125,0.387096774193548,-0.202870679892374
"buf",2001,"NFL",3,13,0,"",265,420,-155,"Williams",27,13,29,21,30,17,31,0.1875,-9.6875,0.0333333333333333,-1.58047564091311
"buf",2000,"NFL",8,8,0,"",315,350,-35,"Phillips",20,9,18,3,22,3,31,0.5,-2.1875,0.3,-0.299889611977891
"buf",1999,"NFL",11,5,0,"Lost WC",320,229,91,"Phillips",16,11,2,1,3,2,31,0.6875,5.6875,0.933333333333333,0.849866234336246
"buf",1998,"NFL",10,6,0,"Lost WC",400,333,67,"Phillips",7,6,15,6,8,6,30,0.625,4.1875,0.758620689655172,0.601796593205295
"buf",1997,"NFL",6,10,0,"",255,367,-112,"Levy",29,25,23,9,28,16,30,0.375,-7,0.0689655172413793,-1.26430508132756
"buf",1996,"NFL",10,6,0,"Lost WC",319,266,53,"Levy",15,16,6,9,7,9,30,0.625,3.3125,0.793103448275862,0.561931700445755
"buf",1995,"NFL",10,6,0,"Lost Div",350,335,15,"Levy",13,20,12,13,13,16,30,0.625,0.9375,0.586206896551724,0.176938624168777
"buf",1994,"NFL",7,9,0,"",340,356,-16,"Levy",11,10,22,17,14,12,28,0.4375,-1,0.518518518518519,-0.188118163560652
